CarData Element;Beschreibung;Technischer Bezeichner;Datentyp;Typischer Wertebereich;Einheit;Streamingfähig
Ladebetriebsart;Aktuelle Ladebetriebsart.;vehicle.drivetrain.electricEngine.charging.chargingMode;string;NORMAL_PROGNOSE_BASED, STEP_BASED, PLC_MODE;;
Ladeleistung;Die aktuelle Ladeleistung in Watt. Dieser Wert sollte nur in Bezug auf den aktuellen Zeitstempel berücksichtigt werden.;vehicle.powertrain.electric.battery.charging.power;int32;20 W bis 80 W;W;
Lademethode und Steckertyp;Der Wert beschreibt, ob das Fahrzeug mit Gleichstrom (DC) oder Wechselstrom (AC) geladen wurde und welcher Ladestecker dabei verwendet wurde. Der angezeigte technische Wert AC_TYPE1PLUG beispielsweise gibt an, dass der Hochvolt-Speicher im Wechelstrommodus geladen wurde und dabei ein Ladestecker vom Typ 1 Plug zum Einsatz kam.;vehicle.drivetrain.electricEngine.charging.method;string;AC_TYPE1PLUG, AC_TYPE2PLUG, NOCHARGING;;
Ladestatus;Dieser Wert gibt den zum Zeitpunkt der Datenerfassung aktuellen Ladestatus des Fahrzeugs an. Der Wert NOCHARGING beispielsweise bedeutet, dass der Hochvolt-Speicher des Fahrzeugs derzeit nicht geladen wird. INITIALIZATION meint, der Ladevorgang wird gerade vorbereitet, CHARGINGACTIVE heißt, der Akku wird gerade aufgeladen. Weitere mögliche Werte sind: CHARGINGPAUSED (Ladevorgang pausiert), CHARGINGENDED (Ladevorgang beendet) und CHARGINGERROR (Ladefehler).;vehicle.drivetrain.electricEngine.charging.status;string;MANUAL_SELECTION, AUTOMATIC_SELECTION, AUTOMATIC_SELECTION_20, UNKNOWN;;
Ladestatus der Hochvoltbatterie;Der Wert gibt den zum Zeitpunkt der Datenerfassung aktuellen Ladestatus der Hochvoltbatterie in Prozent an.;vehicle.drivetrain.batteryManagement.header;float;0 % bis 100 %;percent;
Ladeverfahren der Hochvoltbatterie (induktiv/konduktiv);Der Wert gibt das Ladeverfahren (CONDUCTIVE, INDUCTIVE) an, mit dem das Fahrzeug zum Zeitpunkt der Datenerfassung geladen wird.;vehicle.drivetrain.electricEngine.charging.connectionType;string;CONDUCTIVE, INDUCTIVE, SIGNAL_INVALID;;
Ladeverfahren der Hochvoltbatterie (Phasen);Der Wert gibt die Anzahl der Phasen an, mit denen die Hochvoltbatterie geladen wird.;vehicle.drivetrain.electricEngine.charging.phaseNumber;string;NO_CHARGING, 1-PHASES, 2-PHASES, 3-PHASES, INVALID;;
Ladezustand der Batterie;Der Wert gibt den Ladezustand der Hochvoltbatterie zum Ende der letzten erfassten Fahrt an (in Prozent).;vehicle.trip.segment.end.drivetrain.batteryManagement.hvSoc;float;0 % bis 100 %;percent;
Manuelle Rückmeldung zum Status der Vorkonditionierung;Aktueller Zustand des Tasters für die manuelle Batterievorkonditionierung. Entweder zum Laden oder für den Fahrbetrieb.;vehicle.powertrain.electric.battery.preconditioning.manualMode.statusFeedback;string;OFF, ON_CHARGE, ON_DRIVE, UNKNOWN;;
Maximale Ladestromstärke;Der Wert gibt die maximal wählbare Ladestromstärke in Abhängigkeit von der Infrastruktur und des verwendeten Kabels an.;vehicle.powertrain.electric.battery.charging.acLimit.max;uint8;0-250 A, INVALID;A;
Minimale Ladestromstärke;Der Wert gibt die minimal wählbare Ladestromstärkein Abhängigkeit von der Infrastruktur und des verwendeten Kabels an.;vehicle.powertrain.electric.battery.charging.acLimit.min;uint8;0-250 A, INVALID;A;
Minimaler Soll-Ladezustand;Minimaler Soll-Ladezustand, der vom Kunden für intelligentes Laden und V2X angefordert wird.;vehicle.powertrain.electric.battery.stateOfCharge.targetMin;uint8;0% bis 100%;percent;
Nebenverbraucherleistung (Leistungsverbrauch elektrischer Komponenten);Dieser Wert gibt die Nebenverbraucherleistung zum Zeitpunkt der Datenerfassung in kW an. Dies ist der Bordnetzverbrauch inklusive der Leistung für die Klimaanlage.;vehicle.vehicle.avgAuxPower;float;0 – 655.34, INVALID;kW;
Präferenz für das Ladeprofil;Ladepräferenz des aktuellen Ladeprofils. Dieser Wert hängt von der Auswahl des Lademodus ab. Wenn Vehicle.ElectricEngine.Charging.Profile.Mode „DELAYED_CHARGING“ ist, ist Vehicle.ElectricEngine.Charging.Profile.Preference entweder „SMART_CHARGING“ oder „CHARGING_WINDOW“. Wenn Vehicle.ElectricEngine.Charging.Profile.Mode „IMMEDIATE_CHARGING“ ist, ist Vehicle.ElectricEngine.Charging.Profile.Preference auf „NO_PRESELECTION“ gesetzt.;vehicle.drivetrain.electricEngine.charging.profile.preference;string;CHARGING_WINDOW, SMART_CHARGING, NO_PRESELECTION;;
Prognose der elektrischen Reichweite während des Ladevorgangs;Dieser Wert gibt die während des Ladevorgangs vorhergesagte elektrische Reichweite an.;vehicle.drivetrain.electricEngine.remainingElectricRange;float;0 - 1000 km;km;
Prognose der Gesamtreichweite während des Ladevorgangs;Dieser Wert gibt die während des Ladevorgangs vorhergesagte Gesamtreichweite an (Summe aus elektrischer und verbrennungsmotorischer Reichweite).;vehicle.drivetrain.totalRemainingRange;float;0 - 2000 km;km;
Prognose der verbleibenden Ladezeit;Dieser Wert gibt die prognostizierte verbleibende Ladezeit in Minuten an.;vehicle.drivetrain.electricEngine.charging.timeRemaining;uint16;0 - 200 Min;min;
RCP-Konfiguration abgeschlossen;Fahrzeuge mit einer vollständigen RCP-Konfiguration (Remote Charging Profile) senden explizit Werte für alle Ladeprofilattribute. Für Fahrzeuge ohne vollständige RCP-Konfiguration werden Standardwerte angewendet.;vehicle.drivetrain.electricEngine.charging.profile.isRcpConfigComplete;boolean;wahr, falsch;;
Routenoptimierter Ladestatus;Zeigt den Ladestatus in Fällen an, in denen der Kunde das E-Route-Laden für seine Reise nutzt. E-Route-Ladesitzungen bestehen aus zwei verschiedenen Phasen. Routenoptimierte Ladesitzungen setzen den Soll-Ladezustand des Kunden vorübergehend außer Kraft.;vehicle.drivetrain.electricEngine.charging.routeOptimizedChargingStatus;string;ROUTE_OPTIMIZED_CHARGING_IN_PROGRESS, ROUTE_OPTIMIZED_SOC_TARGET_REACHED;;
Schließzustand der Ladeklappe;Der Wert gibt an, ob die Ladeklappe unabhängig von der Zentralverriegelungzum Zeitpunkt der Datenerfassung verriegelt ist.;vehicle.body.flap.isPermanentlyUnlocked;boolean;NO_ACTION, FLAP_UNLOCKED, FLAP_LOCKED, INVALID;;
Soll-Ladezustand für den professionellen Modus;Enthält den Soll-Ladezustand, der im professionellen Modus als Sollwert verwendet werden soll. Zumindest dieser Soll-Ladezustand wird bis zur Abfahrtszeit erreicht sein.;vehicle.powertrain.electric.battery.stateOfCharge.targetSoCForProfessionalMode;uint8;0% bis 100%;percent;
Status der Authentifizierung zum Laden;Autorisierungsstatus der Plug & Charge-Funktion (automatische Bezahlung von Ladeservices) einer Ladesitzung. „AUTHORIZATION_SUCCESSFUL“ - Authentifizierung mit PlugAndCharge erfolgreich, „TRANSPORT_LAYER_ERROR“ - TLS-Verbindung zur EVSE nicht möglich, „HIGH_LEVEL_COMMUNICATION_ERROR“ - Fehler bei der High-Pegel-Kommunikation mit ISO15118, „CONTRACT_SERVICE_NOT_SUPPORTED_ERROR“ - EVSE unterstützt keine Authentifizierung über PlugAndCharge, „AUTHORIZATION_TIMEOUT“ - Autorisierung ist mit einem Fehler abgelaufen, „AUTHORIZATION_TIMEOUT“ - Authentifizierung nach 120 s nicht abgeschlossen, „NVM_READ_CERTIFICATE_ERROR“ - Zertifikate konnten nicht aus dem Speicher des Ladesteuergeräts gelesen werden, „CERTIFICATE_UPDATE_ERROR“ - Aktualisierung des Vertrags über Powerline fehlgeschlagen, „XML_SECURITY_ERROR“ - Schema-Validierungsfehler der übertragenen Daten.;vehicle.drivetrain.electricEngine.charging.authentication.status;string;AUTHORIZATION_SUCCESSFUL, TRANSPORT_LAYER_ERROR, HIGH_LEVEL_COMMUNICATION_ERROR, CONTRACT_SERVICE_NOT_SUPPORTED_ERROR, AUTHORIZATION_ERROR, AUTHORIZATION_TIMEOUT, NVM_READ_CERTIFICATE_ERROR, CERTIFICATE_UPDATE_ERROR, XML_SECURITY_ERROR;;
Status der Ladebegrenzung;Der Wert gibt an, ob zum Zeitpunkt der Datenerfassung eine Ladestrombegrenzung aktiv war.;vehicle.powertrain.electric.battery.charging.acLimit.isActive;boolean;AC_LIMIT_INACTIVE, AC_LIMIT_ACTIVE, INVALID;;
Status der Ladesteckverbindung;Der Wert gibt an, ob das Fahrzeug zum Zeitpunkt der Datenerfassung mit einem Ladestecker verbunden war (CONNECTED) oder nicht (DISCONNECTED).;vehicle.body.chargingPort.status;string;CONNECTED, DISCONNECTED, INVALID, -NA-;;
Status der Ladesteckverbindung (nur DC);Der Wert gibt an, ob das Fahrzeug zum Zeitpunkt der Datenerfassung mit einem DC-Ladestecker verbunden war (CONNECTED) oder nicht (DISCONNECTED).;vehicle.body.chargingPort.dcStatus;string;DISCONNECTED, CONNECTED, INVALID;;
Status der Sofortladefunktion;Der Wert gibt an, ob die Funktion "Sofortladen" aktiviert ist oder nicht.;vehicle.drivetrain.electricEngine.charging.isSingleImmediateCharging;boolean;DIRECT_CHG_ONCE_NOT_ACTIVE, DIRECT_CHG_ONCE_ACTIVE, INVALID;;
Status des HV-Ladesystems;Status des Hochvolt-Ladens.;vehicle.drivetrain.electricEngine.charging.hvStatus;string;INVALID, CHARGING, ERROR, NOT_CHARGING, WAITING_FOR_CHARGING, FINISHED_FULLY_CHARGED, FINISHED_NOT_FULL;;
Status des Ladesteckers;Aktueller Zustand des Ladesteckers über alle Typen (induktiv, leitungsgebunden), Betriebsarten (AC, DC) und Servicepacks hinweg.;vehicle.drivetrain.electricEngine.charging.connectorStatus;string;CONNECTED, DISCONNECTED, ERROR;;
Status-Text des Ladeanschlusses;Erforderlich zusammen mit Vehicle.Body.ChargingPort.Status, um eine korrekte Handhabbarkeit der Ladesitzungen bei G08 BEV Fahrzeugen sicherzustellen.;vehicle.body.chargingPort.statusClearText;string;DISCONNECTED, CONNECTED;;
Systemgrund für Sofortladen;Dieser Parameter enthält die Information, dass die vom Kunden gewählte Ladebetriebsart aus Systemgründen überschrieben wurde.;vehicle.drivetrain.electricEngine.charging.isImmediateChargingSystemReason;boolean;wahr, falsch;;
Typ des Ladetimers;Timer-Typ des Ladeprofils (z. B. Wochentage oder TwoTimesTimer);vehicle.drivetrain.electricEngine.charging.profile.timerType;string;None;;
Ursache für das Beenden eines Ladevorgangs;Der Wert gibt die Ursache für das Beenden eines Ladevorgangs an.;vehicle.drivetrain.electricEngine.charging.hvpmFinishReason;string;UNKNOWN, CHARGING_GOAL_REACHED, END_REQUESTED_BY_DRIVER, CONNECTOR_REMOVED, POWERGRID_FAILED, HV_SYSTEM_FAILURE, CHARGING_STATION_FAILURE, PARKING_LOCK_FAILED, NO_PARKING_LOCK, SIGNAL_INVALID, INVALID;;
Verbleibende elektrische Reichweite in Abhängigkeit vom Zielwert des Ladezustands;Der Wert gibt die verbleibende elektrische Reichweite zum Zeitpunkt der Datenerfassung in Kilometer an. Diese ist abhängig vom eingestellten Zielwert des Ladezustands.;vehicle.powertrain.electric.range.target;float;0-4000 KM oder MI, INVALID;km;
Verbleibende elektrische Reichweite in km;Der Wert gibt die verbleibende elektrische Reichweite zum Zeitpunkt der Datenerfassung in Kilometer an.;vehicle.drivetrain.electricEngine.kombiRemainingElectricRange;float;0-4000 km, INVALID;;
Verbrauch elektrische Energie im COMFORT Modus der letzten Fahrt;Gibt den zum Zeitpunkt der Datenerfassung gemessenen Verbrauch elektrischer Energie (kWh) im COMFORT Modus an.;vehicle.trip.segment.accumulated.drivetrain.electricEngine.energyConsumptionComfort;double;0 kWh bis 10 kWh;kWh;
Verriegelungszustand des Ladesteckers nach vollständiger Ladung;Der Wert gibt an, ob der Ladestecker nach vollständiger Ladung automatisch entriegelt wird (HOSPITALITY_ACTIVE) oder verriegelt bleibt (HOSPITALITY_INACTIVE).;vehicle.body.chargingPort.isHospitalityActive;boolean;HOSPITALITY_INACTIVE, HOSPITALITY_ACTIVE, INVALID;;
Zeitpunkt der letzten Fahrt;Der Zeitstempel enthält das Datum und die Ortszeit der letzten erfassten und übermittelten Fahrt, beispielsweise 15.05.2017 15:51:00 UTC.;vehicle.trip.segment.end.time;int32;dd.mm.yyyy hh:mm:ss UTC;;
Zielwert des Ladezustands der Hochvoltbatterie;Der Wert gibt den eingestellten Zielwert des Ladezustandes der Hochvoltbatterie in Prozent an. Dieser wird in 10% Schritten angezeigt.;vehicle.powertrain.electric.battery.stateOfCharge.target;uint8;0-100 [10% Schritte], INVALID;%;
Zurückgewonnene Energiemenge der letzten Fahrt;Der Wert gibt die durchschnittlich je 100 Kilometer zurückgewonnene elektrische Energie in Kilowattstunden (kWh/100 km) der letzten erfassten Fahrt an. Das Wertespektrum reicht von 0 bis 254.;vehicle.trip.segment.accumulated.drivetrain.electricEngine.recuperationTotal;float;0 kWh/100 km bis 170 kWh/100 km;;
Zustand der Ladeklappe;Der Wert gibt an, ob die Ladeklappe zum Zeitpunkt der Datenerfassung verriegelt ist.;vehicle.body.flap.isLocked;boolean;FLAP_UNLOCKED, FLAP_LOCKED, INVALID;;
Zustand der Vorkonditionierung;Status der Aktivität zur Vorkonditionierung der Batterie. Ein Legacy-Wert, der nur für das Legacy-Projekt SP2021plus gültig ist.;vehicle.powertrain.electric.battery.preconditioning.state;string;OFF, ON_LEGACY, MANUAL_ON_CHARGE, AUTOMATIC_ON, REMOTE_ON_CHARGE, REMOTE_ON_DRIVE, REMOTE_OFF, UNKNOWN;;
Aktion für Überschreiben der Klimazeitautomatik;Status/Aktion der Zeitautomatik mit den Zuständen Activate (Ein), Deactivate (Aus) und NoAction (wird nur beim Übermitteln der Zeitautomatik an das Fahrzeug verwendet).;vehicle.cabin.climate.timers.overwriteTimer.action;string;ACTIVATE, DEACTIVATE, NO_ACTION;;
Aktion für Zeitautomatik 1 an Wochentagen;Status/Aktion der Zeitautomatik 1 mit den Zuständen Activate (Ein), Deactivate (Aus) und NoAction (wird nur beim Übermitteln der Zeitautomatik 1 an das Fahrzeug verwendet).;vehicle.cabin.climate.timers.weekdaysTimer1.action;string;ACTIVATE, DEACTIVATE, NO_ACTION;;
Aktion für Zeitautomatik 2 an Wochentagen;Status/Aktion der Zeitautomatik 2 mit den Zuständen Activate (Ein), Deactivate (Aus) und NoAction (wird nur beim Übermitteln der Zeitautomatik 2 an das Fahrzeug verwendet).;vehicle.cabin.climate.timers.weekdaysTimer2.action;string;ACTIVATE, DEACTIVATE, NO_ACTION;;
Anzahl der Navigation-Satelliten;Anzahl der für die Positionsbestimmung verwendeten GPS-Satelliten: beeinflusst die Zuverlässigkeit der Positionsbestimmung.;vehicle.cabin.infotainment.navigation.currentLocation.numberOfSatellites;uint8;None;;
Minute für Überschreiben der Klimazeitautomatik;Minuteneinstellung der Klimazeitautomatik entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.overwriteTimer.minute;uint8;0 - 59;min;
Minute für Zeitautomatik 1 an Wochentagen;Minuteneinstellung der Klimazeitautomatik 1 entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.weekdaysTimer1.minute;uint8;0 - 59;min;
Minute für Zeitautomatik 2 an Wochentagen;Minuteneinstellung der Klimazeitautomatik 2 entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.weekdaysTimer2.minute;uint8;0 - 59;min;
Status der Navigations-Fixierung;Status der GPS-Fixierung. „NO_FIX“ bedeutet, dass weniger als 3 Satelliten gefunden wurden. „2D_GPS_FIX“ wird ausgegeben, wenn mindestens 3 Satelliten gefunden wurden. „3D_GPS_FIX“ wird ausgegeben, wenn mindestens 4 Satelliten gefunden wurden.;vehicle.cabin.infotainment.navigation.currentLocation.fixStatus;string;NO_FIX, GPS_FIX_2D, GPS_FIX_3D;;
Steuerung der E-Reichweitenanzeige;Zeigt an, ob und wie die elektrische Reichweite im Fahrzeug angezeigt werden soll.;vehicle.powertrain.electric.range.displayControl;string;None;;
Stunde für Überschreiben der Klimazeitautomatik;Stundeneinstellung der Klimazeitautomatik entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.overwriteTimer.hour;uint8;0 - 23;h;
Stunde für Zeitautomatik 1 an Wochentagen;Stundeneinstellung der Klimazeitautomatik 1 entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.weekdaysTimer1.hour;uint8;0 - 23;h;
Stunde für Zeitautomatik 2 an Wochentagen;Stundeneinstellung der Klimazeitautomatik 2 entsprechend der im Fahrzeug konfigurierten Zeitzone.;vehicle.cabin.climate.timers.weekdaysTimer2.hour;uint8;0 - 23;h;
Wegstreckeneinheit im Infotainment;In der aktuellen HMI verwendete Wegstreckeneinheit;vehicle.cabin.infotainment.hmi.distanceUnit;string;MILES, KILOMETERS;;
Gemessener Reifendruck hinten links;Der Wert gibt den gemessenen Reifendruck hinten links in kPa an.;vehicle.chassis.axle.row2.wheel.left.tire.pressure;uint16;0-1000 kPa oder -NA-;kPa;
Gemessener Reifendruck hinten rechts;Der Wert gibt den gemessenen Reifendruck hinten rechts in kPa an.;vehicle.chassis.axle.row2.wheel.right.tire.pressure;uint16;0-1000 kPa oder -NA-;kPa;
Gemessener Reifendruck vorne links;Dieser Wert gibt den gemessenen Reifendruck vorne links in kPa an;vehicle.chassis.axle.row1.wheel.left.tire.pressure;uint16;0-1000 kPa oder -NA-;kPa;
Gemessener Reifendruck vorne rechts;Der Wert gibt den gemessenen Reifendruck vorne rechts in kPa an.;vehicle.chassis.axle.row1.wheel.right.tire.pressure;uint16;0-1000 kPa oder -NA-;kPa;
Reifensolldruck hinten links;Dieser Wert gibt Reifensolldruck hinten links in kPa an.;vehicle.chassis.axle.row2.wheel.left.tire.pressureTarget;uint16;0-1000 kPa oder -NA-;kPa;
Reifensolldruck hinten rechts;Dieser Wert gibt den Reifensolldruck hinten rechts in kPa an.;vehicle.chassis.axle.row2.wheel.right.tire.pressureTarget;uint16;0-1000 kPa oder -NA-;kPa;
Reifensolldruck vorne links;Dieser Wert gibt den Reifensolldruck vorne links in kPa an.;vehicle.chassis.axle.row1.wheel.left.tire.pressureTarget;uint16;0-1000 kPa oder -NA-;kPa;
Reifensolldruck vorne rechts;Dieser Wert gibt den Reifensolldruck vorne rechts in kPa an.;vehicle.chassis.axle.row1.wheel.right.tire.pressureTarget;uint16;0-1000 kPa oder -NA-;kPa;
Reifentemperatur in Celsius, hinten links;Reifentemperatur in Celsius hinten links.;vehicle.chassis.axle.row2.wheel.left.tire.temperature;float;0 °C bis 50 °C;Celsius;
Reifentemperatur in Celsius, hinten rechts;Reifentemperatur in Celsius hinten rechts.;vehicle.chassis.axle.row2.wheel.right.tire.temperature;float;0 °C bis 50 °C;Celsius;
Reifentemperatur in Celsius, vorn links;Reifentemperatur in Celsius vorn links.;vehicle.chassis.axle.row1.wheel.left.tire.temperature;float;0 °C bis 50 °C;Celsius;
Reifentemperatur in Celsius, vorn rechts;Reifentemperatur in Celsius vorn rechts.;vehicle.chassis.axle.row1.wheel.right.tire.temperature;float;0 °C bis 50 °C;Celsius;
